instance_name,solver_name,support_status,unsupported_constraint_families,notes
Late 8,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Late 8,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 8,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Late 8,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Late 9,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Late 9,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Late 9,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Late 9,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 1,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 1,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 1,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 1,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA4; Capacity; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 10,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 10,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 10,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 10,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 11,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 11,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 11,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 11,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 12,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 12,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 12,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 12,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 13,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 13,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 13,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 13,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 14,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 14,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 14,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 14,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 15,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 15,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 15,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 15,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 2,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 2,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 2,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 2,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 3,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 3,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 3,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 3,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 4,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 4,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 4,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 4,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 5,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 5,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 5,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 5,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 6,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 6,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 6,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 6,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 7,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 7,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 7,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 7,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 8,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Middle 8,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Middle 8,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Middle 8,timefold,not_configured,BR1; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Middle 9,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Middle 9,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 9,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Middle 9,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 1,cpsat_solver,partially_supported,BR2; Break; CA1; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Test Instance 1,random_baseline,partially_supported,BR2; Break; CA1; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 1,simulated_annealing_solver,unsupported,BR2; Break; CA1; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 1,timefold,not_configured,BR2; Break; CA1; CA3; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 2,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; Capacity; FA2; Fairness; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Test Instance 2,random_baseline,partially_supported,BR1; Break; CA1; CA2; Capacity; FA2; Fairness; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 2,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; Capacity; FA2; Fairness; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 2,timefold,not_configured,BR1; Break; CA1; CA2; Capacity; FA2; Fairness; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 3,cpsat_solver,partially_supported,CA1; CA2; CA3; CA4; Capacity; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Test Instance 3,random_baseline,partially_supported,CA1; CA2; CA3; CA4; Capacity; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 3,simulated_annealing_solver,unsupported,CA1; CA2; CA3; CA4; Capacity; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 3,timefold,not_configured,CA1; CA2; CA3; CA4; Capacity; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 4,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Test Instance 4,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 4,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 4,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; FA2; Fairness; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 5,cpsat_solver,partially_supported,BR1; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Test Instance 5,random_baseline,partially_supported,BR1; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Test Instance 5,simulated_annealing_solver,unsupported,BR1; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Test Instance 5,timefold,not_configured,BR1; Break; CA1; CA2; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 6,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Test Instance 6,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Test Instance 6,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Test Instance 6,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 7,cpsat_solver,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline; parser warnings: duplicate_constraint_entries
Test Instance 7,random_baseline,partially_supported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 7,simulated_annealing_solver,unsupported,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints; parser warnings: duplicate_constraint_entries
Test Instance 7,timefold,not_configured,BR1; BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance 8,cpsat_solver,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Test Instance 8,random_baseline,partially_supported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Test Instance 8,simulated_annealing_solver,unsupported,BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Test Instance 8,timefold,not_configured,BR2; Break; CA1; CA2; CA3; CA4; Capacity; GA1; Game; HARD; SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
Test Instance Demo,cpsat_solver,partially_supported,SE1; Separation; SOFT,models double round robin with explicit home/away legs; parsed constraint families are recorded but not enforced by the CP-SAT baseline
Test Instance Demo,random_baseline,partially_supported,SE1; Separation; SOFT,diagnostic control baseline only; returns deterministic synthetic scores; does not construct a real schedule; does not enforce RobinX / ITC2021 constraints
Test Instance Demo,simulated_annealing_solver,unsupported,SE1; Separation; SOFT,unsupported round-robin mode: double; simplified single round-robin search; does not model explicit home/away decisions; does not directly enforce RobinX / ITC2021 constraints
Test Instance Demo,timefold,not_configured,SE1; Separation; SOFT,missing external solver executable; Python repository does not bundle or download a Timefold runtime
